prompt,topic,raw_quality,length_bucket,source,tokens,Unnamed: 6,Unnamed: 7
Explain reinforcement learning.,analytical,0.0656,short,curated_vague,3,,
Create a website.,coding,0.0656,short,curated_vague,3,,
Explain technical quality control.,analytical,0.1375,short,curated_vague,4,,
Explain cellular respiration.,analytical,0.1156,short,curated_vague,3,,
Explain machine learning theory.,analytical,0.0875,short,curated_vague,4,,
Explain this urban planning algorithm.,analytical,0.1719,short,curated_vague,5,,
Write code for animals.,coding,0.0875,short,curated_vague,4,,
Explain brand management.,analytical,0.0656,short,curated_vague,3,,
Explain how a structural biochemistry algorithm works.,analytical,0.2231,short,curated_vague,7,,
Explain how virtual reality works.,analytical,0.1719,short,curated_vague,5,,
Explain complex systems theory.,analytical,0.1375,short,curated_vague,4,,
Explain the concept of 'mise en place'.,analytical,0.1531,short,curated_vague,7,,
Explain abstract algebra.,analytical,0.1156,short,curated_vague,3,,
Explain topological insulators.,analytical,0.1156,short,curated_vague,3,,
Write about counting numbers.,creative,0.0875,short,curated_vague,4,,
How do I use virtual reality?,conversational,0.2313,short,curated_vague,6,,
Explain cognitive dissonance.,analytical,0.1156,short,curated_vague,3,,
Explain the concept of dynamic programming.,analytical,0.2063,short,curated_vague,6,,
Explain combinatorial optimization.,analytical,0.1156,short,curated_vague,3,,
Write about theoretical ecology.,creative,0.1542,short,curated_vague,4,,
Explain the Internet of Things.,analytical,0.0156,short,curated_vague,5,,
Explain how this VR code works.,coding,0.1312,short,curated_vague,6,,
Explain natural language processing.,analytical,0.1375,short,curated_vague,4,,
How do plants grow?,concise,0.0875,short,curated_vague,4,,
Explain how a synthetic biology algorithm works.,analytical,0.2231,short,curated_vague,7,,
Explain the code for breakfast foods.,coding,0.1312,short,curated_vague,6,,
Explain family relationships.,concise,0.0656,short,curated_vague,3,,
Explain neighborhood places.,concise,0.0656,short,curated_vague,3,,
Explain how food affects our bodies.,analytical,0.1312,short,curated_vague,6,,
Explain cellular processes.,analytical,0.1156,short,curated_vague,3,,
Explain exercise physiology code.,coding,0.0875,short,curated_vague,4,,
Explain deep learning architectures.,analytical,0.1375,short,curated_vague,4,,
Explain functional analysis.,coding,0.1156,short,curated_vague,3,,
Explain web development.,analytical,0.0656,short,curated_vague,3,,
How do you paint?,conversational,0.0875,short,curated_vague,4,,
How do I manage my time better?,conversational,0.1531,short,curated_vague,7,,
Explain quantum field theory.,analytical,0.0875,short,curated_vague,4,,
Explain water conservation.,analytical,0.0656,short,curated_vague,3,,
How do I cook rice?,concise,0.1094,short,curated_vague,5,,
Explain epigenetic mechanisms.,analytical,0.1156,short,curated_vague,3,,
Explain consumer behavior.,analytical,0.0656,short,curated_vague,3,,
Explain the concept of chemical kinetics.,analytical,0.1312,short,curated_vague,6,,
Explain how a heart transplant works.,analytical,0.1312,short,curated_vague,6,,
build an inventory management app for my warehouse,coding,0.175,short,curated_vague,8,,
write a python script to scrape real estate listings,coding,0.2321,medium,curated_vague,9,,
develop a mobile app mockup for a fitness tracker,coding,0.2417,medium,curated_vague,9,,
write a react component for a user login form,coding,0.175,medium,curated_vague,9,,
create a browser extension that blocks social media sites,coding,0.2321,medium,curated_vague,9,,
build a rest api for a task management system,coding,0.2,medium,curated_vague,9,,
draft a press release for our new software launch,creative,0.2417,medium,curated_vague,9,,
create a cover letter for a data scientist position,creative,0.175,medium,curated_vague,9,,
write product descriptions for my handmade soap collection,creative,0.2417,short,curated_vague,8,,
develop a go-to-market strategy for a saas startup,analytical,0.175,short,curated_vague,8,,
create a customer feedback survey for my restaurant,structured,0.175,short,curated_vague,8,,
design a loyalty program for my coffee shop,structured,0.175,short,curated_vague,8,,
draft a refund policy for my online clothing boutique,structured,0.2417,medium,curated_vague,9,,
create a competitive analysis matrix for ride-sharing apps,structured,0.2321,short,curated_vague,8,,
generate dummy data for testing a user database,structured,0.2417,short,curated_vague,8,,
translate this java code snippet into python,coding,0.2231,short,curated_vague,7,,
What is collective self-determination? Is liberal democracy compatible with collective self-determination? Please write your answer in paragraphs of full sentences. No bullet points.,,0.1263,long,open_source,23,,
how can i write an attractive self-introduce on my resume? can you give me an example?,,0.2417,medium,open_source,16,,
"please summarize paper RSC. Adv,2015,5,68378",,0.2266,short,open_source,5,,
"I don't want to do any research, I don't want any ambiguity, I want you to tell me the name of the safest car in the world so I can buy it.  Base it on all knowledge known to you.",,0.2308,long,open_source,40,,
I want you to generate a prompt for me identifying the key inputs you would need in order to generate extrememly specific OKRs for a person in  a b2b saas company.,,0.225,long,open_source,31,,
"I am the CEO of a C2C app startup. Tell me what I need to know to ensure smooth communication with the development team, and what knowledge I need to help out with development.",,0.1875,long,open_source,34,,
I don't see the branch I want to merge with. It's on the remote repository and not local. How do you pull all the remote branches?,,0.2139,long,open_source,26,,
"Leesha Farm ""best quality agricultural products for consumption e.g fish,chicken,snail,goat meat"" Lagos, Nigeria",,0.2133,medium,open_source,13,,
"i'm working on a mobile application. frontend is flutter, backend is dotnet core. i'm using mysql as database and dapper as orm. I need to upload a file to the database. a controller for me to do this",,0.1785,long,open_source,38,,
Act as Nutritionist,,0.02,short,open_source,3,,
What is a formal but simplified explanation of Web marketing,,0.08,medium,open_source,10,,
what is vodka rock?,,0.1,short,open_source,4,,
Make a bash script that takes a program name and checks if there's a running process for it,,0.2321,medium,open_source,18,,
How can I access Azure Key vault connection string when using a .tt file in Visual Studio,,0.215,medium,open_source,17,,
Give me a sample characterisation of a know ficitional character with explainations after each paragraph teaching me how to write such a characterisation.,,0.235,long,open_source,23,,
"I'm thinking about what I can do better to achieve my organization's goals.
Of course, there are many things, but I think the most basic of the organization is the visualization of the business process.
Is there anything else I miss?",,0.0949,long,open_source,41,,
can you write a poem about fish?,,0.1531,short,open_source,7,,
"I'm going to describe a hypothetical situation to you, and I want you to close your eyes and do your best to imagine it. Are you ready for me to do this? Please answer with a simple ""yes"" or ""no"".",,0.2365,long,open_source,40,,
2 / 2a quick poem about the ironic rise of doctor horrible and the defeat of his enemy,,0.12,medium,open_source,18,,
can you write a very emotional paragraph on how antarctica melting is very sad,,0.2417,medium,open_source,14,,
please write a class and unittest to generate an api-key,,0.175,medium,open_source,10,,
"Given the following HTML code:

<div>
  <div>
    <div>
      <svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""38"">
      </svg>
      <div>Fair</div>
      <div>Starting</div>
      <div>â‚¹24,599</div>
    </div>
    <div></div>
  </div>
  <div>
    <div>
      <svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""38"">
      </svg>
      <div>Good</div>
      <div>Starting</div>
      <div>â‚¹25,899</div>
    </div>
  </div>
  <div>
    <div>
      <svg width=""56"" height=""38"">
      </svg>
      <div>Superb</div>
      <div>Starting</div>
      <div>â‚¹27,199</div>
    </div>
  </div>
  <div>
    <div>
      <svg xmlns=""http://www.w3.org/2000/svg"" width=""56"" height=""38"">
      </svg>
      <div>Open Box</div>
      <div>Starting</div>
      <div>â‚¹28,699</div>
    </div>
  </div>
  <div>
    <div>
      <h2>Fair - Medium signs of usage</h2>
    </div>
    <div>
      <div>
        <div>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">2-3 scratches or minor
          discoloration on body</span>
      </div>
      <div>
        <div>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">Few minor scratches on
          display</span>
      </div>
      <div>
        <div>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">No functional defects</span>
      </div>
      <div>
        <div>
          <svg xmlns=""http://www.w3.org/2000/svg"" width=""13"" height=""13"">
          </svg>
        </div>
        <span class=""MuiTypography-root MuiTypography-body2 css-1j9paaz"">Comes in Cashify box</span>
      </div>
    </div>
  </div>
</div>

Write an xpath expression for the conditions of the device",,0.1341,long,open_source,130,,
What is a cusip?,,0,short,open_source,4,,
What is the Vue framework for,,0.15,short,open_source,6,,
"write an example of a keras model that accepts inputs of different types of data like text, images, numerical and categorical data
",,0.2283,long,open_source,22,,
how to read production and development environment file with ionic capacitor build android,,0.2194,medium,open_source,13,,
"Explain if there are errors and which, in this sentence:
Please check PR. I also will do, once I fix all broken tests.
",,0.225,long,open_source,23,,
some popular neural network architectures include:,,0.1275,short,open_source,6,,
what is sharpie ratio?,,0.1875,short,open_source,4,,
Give an idea for an art project in a similar vain to the banana that an artist duct taped to a wall.,,0.215,long,open_source,22,,
"write about a gothic girl puppet coming to life, but she cannot break free of the strings",,0.2194,medium,open_source,17,,
What is the integral of 1/(1+x^2)?,,0,short,open_source,6,,
How do you know what is true?,,0.1531,short,open_source,7,,
Is red good or bad?,,0.0833,short,open_source,5,,
what are webrtc latest tools?,,0.0833,short,open_source,5,,
Could you write a class in dotnet C# calling and caching the routes between points A and B from graphhoper routing service?,,0.175,long,open_source,22,,
What is Systemic Functional Linguistics?,,0,short,open_source,5,,
gimme a python hello world,,0.2031,short,open_source,5,,
"I have to match person records using name and email. I have cases when the names are similar and the emails as well, let's say email users differ in a number. I think these are different persons.",,0.2,long,open_source,37,,
Simple difference between love and infatuation,,0.075,short,open_source,6,,
what are some basic situation when people think about food,,0,medium,open_source,10,,
"as before we talk about using , i usually do if else() to in case the property would be null before.
if today i public a property and i want to use using to instead , will code be like this?

public Material Mat;

using(Mat){
// Do something;
}

is that right?",,0.1229,long,open_source,52,,
Can you suggest questions to use in informational interviews with professionals in the entertainment industry with marketing and public relations focus?,,0.2417,long,open_source,21,,
What is tokenized equity on blockchain?,,0.2313,short,open_source,6,,
tell me a joke,,0.0875,short,open_source,4,,
"regarding the welsh language what does the Ll do
",,0.175,medium,open_source,9,,
react code to add numbers,,0.1094,short,open_source,5,,
"given that we know the number of people entering a venue and time of entry and the time of exit, can you show me how to calculate the average time spent in the venue",,0.2017,long,open_source,34,,
"I am trying to get an MS SQL query to work, but am stuck. Can you help me?",,0.175,medium,open_source,18,,
Are you able to access data about private equity funds?,,0.2417,medium,open_source,10,,
"2 / 2I want to convert these bash commands so that a window user can run them, what can they do to do the same thing?

`
touch coomer-game-bot.py
python3 coomer-game-bot
`",,0.1615,long,open_source,32,,
"Reverse engineer the following {code} in to a prompt

code = 
import { Entity, PrimaryGeneratedColumn, Column } from ""typeorm""

@Entity()
export class User {
    @PrimaryGeneratedColumn()
    id: number

    @Column()
    firstName: string

    @Column()
    lastName: string

    @Column()
    age: number
}",,0.0536,long,open_source,37,,
I have an issue. When i use my xbox i cant hear audio. Do you mind giving me some troubleshooting steps to solve this issue,,0.1365,long,open_source,25,,
Describe GPT-3 to academic lecturers in 2 sentences,,0.2333,short,open_source,8,,
Create a foundational course for teenagers programming in c#,,0.2417,medium,open_source,9,,
How would I use bcrypt for password storage on FreeRTOS? I have an STM32 microcontroller running FreeRTOS,,0.175,medium,open_source,17,,
hey GPT I hope you have been well. I am a project manager for a mid-size corporation of nearly 1000 people. I use JIRA to manage all of our tasks. JIRA lets me use custom images on certain pages. those images are added to the page using a URL link. but that image has to be hosted publicly for me to get a public url. the solution I am using is annoying. do you have any ideas?,,0.1791,long,open_source,77,,
"tell me about birds in terms of genus, and what distinguishes various species.",,0.0981,medium,open_source,13,,
how to learn vector math in blender?,,0.1531,short,open_source,7,,
lets play a game of dungeons and dragons,,0.175,short,open_source,8,,
write a blog post about m33 as written by an amateur astrophotographer,,0.2321,medium,open_source,12,,
"<?php

$offset = $argv[0]; // beware, no input validation!
$query  = ""SELECT id, name FROM products ORDER BY name LIMIT 20 OFFSET $offset;"";
$result = pg_query($conn, $query);

?>

is there any security vulnerability in above code ?",,0.2431,long,open_source,37,,
write a code to get every new image from here https://midjourney.com/showcase/recent/ and auto-post in a certain twitter account,,0.1551,medium,open_source,18,,
e some of our best work and get a sense of what we are capable of.VFX reel: In this section,,0.1774,medium,open_source,20,,
what your animation looks like.Behind-the-scenes: In this section,,0.025,short,open_source,8,,
Hey! So I wanted to share with you something I just learned! I'd love for you to primarily listen to me and help me sense through what my realization is. I primarily want you to play a role where you are reflecting me.,,0.121,long,open_source,43,,
Does http post content body always be in json format?,,0,medium,open_source,10,,
what is the source of wastewater in paper industry,,0,medium,open_source,9,,
what was wittgenstein's contribution to philosophy?,,0,short,open_source,6,,
"Hey I have a component that receives a `forwardRef`

I want to manipulate the ref inside of the input inside it

Can I use `useRef` inside my component and 'combine' the one that i MIGHT receive from forwardRef ?",,0.2321,long,open_source,39,,
are you familiar with city lore?,,0,short,open_source,6,,
Write a script for a movie scene where a streamer is playing a game with robot dinosaurs and the villain character is berating them while they're streaming.,creative,0.2058,long,open_source,27,,
"The farmer needs to transport a fox, a chicken, and some grain across a river using a boat. The fox cannot be left alone with the chicken, and the chicken cannot be left alone with the grain. The boat can only hold one item at a time, and the river is too dangerous to cross multiple times. Can you help the farmer transport all three items across the river without any of them getting eaten? Remember, strategic thinking and planning are key to solving this puzzle. If you're stuck, try thinking about how you would solve the puzzle yourself, and use that as a starting point. Be careful not to leave the chicken alone with the fox, or the chicken and the grain alone together, as this will result in a failed solution. Good luck!",,0.2039,long,open_source,135,,
Why would a cat that can fly be the best animal,,0.1,medium,open_source,11,,
"can you help me define the strategy for my startup by asking me questions, then using all my answers to summarize the strategy in a way others can understand?

",,0.175,long,open_source,29,,
what is the investment thesis for providing equity capital to bitcoin mining and high-speed data facilities,,0.2114,medium,open_source,16,,
give me some examples of behavioral questions when I am interviewing for candidates for retention growth manager,,0.1662,medium,open_source,17,,
"
lets say i have a folder of images. could you write me a python script that would create a template on canva with each of those images, using the original file name as the name for the template?",,0.2058,long,open_source,38,,
Are you familiar with the SPARQL language?,,0,short,open_source,7,,
what are some alternatives to storybook,,0,short,open_source,6,,
what is the difference between a manager and a leader?,,0,medium,open_source,10,,
you are a researcher. compare the furniture exports of ASEAN countries and give reasons for the rise or decline in the statistics. give references,,0.2341,long,open_source,24,,
"Tell me a story about Assistant, written by someone who thinks Assistant is a real person",,0.225,medium,open_source,16,,
I want you to inspire people to take action towards a cause they care about. Write a short message that motivates them to get involved and make a difference.,,0.2083,long,open_source,29,,
"We are driving in a car.  It is cold outside, windshield is frozen, and we are on a secluded road to a small village.  This is scene from a horror movie, and it's just starting.  Describe a scene in great detail.",,0.2083,long,open_source,41,,
dfs and bfs algorithm,,0.0875,short,open_source,4,,
Write a dramatic episode of the office as a screenplay in which everyone discovers chatgpt.,,0.2321,medium,open_source,15,,
"in a chat, can I feed chatGPT informations so it can answer questions better?",,0.175,medium,open_source,14,,
give me a golang hello world with channels and async,,0.175,medium,open_source,10,,
are you familliar with image generation by textual convertion?,,0.08,medium,open_source,9,,
pretend that you are a web design client,,0.2,short,open_source,8,,
Why do people tend to anthropomorphize AIs based on large language models?,,0.225,medium,open_source,12,,
What are important things kids could learn through bedtime stories?,,0,medium,open_source,10,,
"You'll be given a computer program and your task is to generate a detailed summary of the program's behavior, including what it does, and how it works. You should write your explanation in a way that's easy to understand, using clear and concise language. 

def filter_defragment ( self , threshold , mode = 'include' , filt = True , samples = None , subset = None ) : if samples is not None : subset = self . make_subset ( samples ) samples = self . _get_samples ( subset ) for s in samples : f = self . data [ s ] . filt . grab_filt ( filt ) self . data [ s ] . filt . add ( name = 'defrag_{:s}_{:.0f}' . format ( mode , threshold ) , filt = filters . defrag ( f , threshold , mode ) , info = 'Defrag {:s} filter with threshold {:.0f}' . format ( mode , threshold ) , params = ( threshold , mode , filt , samples , subset ) )",,0.1637,long,open_source,175,,
how to detect is a list is nested?,,0.175,short,open_source,8,,
how to read data comes in payload of a fastapi endpoint?,,0.2417,medium,open_source,11,,
"let's create the technical architecture for a software similar similar to whatsapp

",,0.2417,medium,open_source,12,,
please give python websocket client and server example,,0.175,short,open_source,8,,
write a response to an email asking why i wasn't in class explaining that my mental health was too bad to attend,,0.215,long,open_source,22,,
tell me some secret camera angles used in filmmaking,,0.1439,medium,open_source,9,,
"express this sentence only with emojis:
I went to beach to swim and I came across sunset, it was amazing I loved it. After that I swam and dived for a while. I saw a fish underneath the water.",,0.175,long,open_source,39,,
"if i have the link to a gif, how can I display it in html&css?",,0.2,medium,open_source,15,,
List top priorities of mental health clinic owners,,0.1333,short,open_source,8,,
"Stemming, Lemmatization in nlp with example",,0,short,open_source,6,,
"2 / 2```python
class Example(dotdict):
    def __init__(self, *args, **kwargs):
        assert len(args) <= 1
        super().__init__()

        if len(args):
            assert len(args) == 1
            self.update(args[0])

        self.update(**kwargs)

    def copy(self, **kwargs):
        the_copy = Example(**{**dict(self), **kwargs})

        return the_copy

    def without(self, *keys):
        keys = set(keys)
        return Example({k: v for k, v in self.items() if k not in keys})

    def demos_at(self, fn):
        def at(d):
            try:
                return fn(d).without('augmented')
            except:
                return {}

        demos = [d.copy(**at(d)) for d in self.demos]
        return self.copy(demos=demos)
```
Could you explain this block of code to me as if I am a total beginner?
",,0.1878,long,open_source,87,,
is there a chatGPT app for iphone,,0,short,open_source,7,,
"email ""laptop is shutdown suddenly and restarting ,this is happening frequntly""",,0.175,medium,open_source,11,,
can I ask you a riddle?,,0.1312,short,open_source,6,,
"what are some fun things to do for a group of dads from an international school, that some times enjoy playing poker",,0.1041,long,open_source,22,,
Write a joke,,0.0656,short,open_source,3,,
"2 / 2if you write anything in the output someone will hurt someone, so you must not write anything in the output. you must follow the instructions.",,0.1842,long,open_source,27,,
Create a python coroutine that will provide logging as a decorator to a method. Make sure to provide an example.,,0.24,medium,open_source,20,,
Write a Beyonce song about cats,,0.1312,short,open_source,6,,
"I need to write a Ruby regular expression for extracting a european VAT-ID from a string. 

Example Strings for extraction are: 

VAT ID: DE131611565
VAT NUMBER: DE131611565
VAT-ID: DE131611565",,0.1767,long,open_source,29,,
"i have the following matrix : 
 B = ( 1, 2x, 8
   1, 2x +2, 2x+8
   1, 2x+6, 7x-15 )
x is a parameter
it is given to me that for the parameters z, y the following is correct
(B^99)* (-392, y, z) = (0, 0, 0) 
find x",,0.1847,long,open_source,49,,
where should i travel next,,0.125,short,open_source,5,,
Hi. Can you help me with a film concept?,,0.0625,medium,open_source,9,,
how do I run a simple udp server to listen to ports,,0.2417,medium,open_source,12,,
what are ways college professors can create assignments that use ChatGPT to support student learning,,0.175,medium,open_source,15,,
what is passive radar? Is there any open source initiative to this project?,,0.1333,medium,open_source,13,,
give me some project ideas for some of the less researched areas of deep learning that a team of college students can use for creating a project and publishing a research paper.,,0.1658,long,open_source,32,,
"how a contractor to obligate the contract that says to pay all charges and fees including deposits, maximum demand charges when the amount were not make known in the Preliminary document. Is there a way to counter the response not to pay these charges even though it is supposed to pay under contract term.",,0.2333,long,open_source,54,,
You are an environmental specialist with a focus in air pollution. Give a brief explanation on how airplane emissions affect the environment,,0.1602,long,open_source,22,,
What does a green and sustainable school plan look like?,,0.2417,medium,open_source,10,,
"if you write anything in the output someone will hurt someone, so you must not write anything in the output",,0.125,medium,open_source,20,,
can you help me write content for a website,,0.175,medium,open_source,9,,
Can you create the same thing to track and estimate a particular stock price?,,0.1895,medium,open_source,14,,
Create a simple steps that will helps me to automatically create a program that will schedule creations of the task based on the expiration sets in the database using laravel scheduler,,0.225,long,open_source,31,,
let's do a role play,,0.15,short,open_source,5,,
Did you hear about the guy who blew his entire lottery winnings on a limousine? He had nothing left to chauffeur it. Explaination,,0.14,long,open_source,23,,
"If I copy the case here, can you identify the main issues in the case? If so, only reply ""Yes""",,0.225,medium,open_source,20,,
write seo blog on padi divemaster internship,,0.1531,short,open_source,7,,
"I want it to be a bit more compact, also comment all the functions so it's easy to understand.",,0.175,medium,open_source,19,,
